date, pm25
2016/7/16, 67
2016/7/17, 86
2016/7/18, 71
2016/7/19, 78
2016/7/20, 95
2016/7/21, 85
2016/7/22, 103
2016/7/23, 89
2016/7/24, 120
2016/7/25, 153
2016/7/26, 131
2016/7/27, 104
2016/7/28, 101
2016/7/29, 125
2016/7/30, 90
2016/7/31, 113
2016/8/1, 79
2016/8/2, 78
2016/8/3, 69
2016/8/4, 76
2016/8/5, 84
2016/8/6, 78
2016/8/7, 87
2016/8/8, 79
2016/8/9, 77
2016/8/10, 77
2016/8/11, 65
2016/8/12, 98
2016/8/13, 108
2016/8/14, 95
2016/8/15, 103
2016/8/16, 87
2016/8/17, 107
2016/8/18, 127
2016/8/19, 117
2016/8/20, 88
2016/8/21, 61
2016/8/22, 60
2016/8/23, 88
2016/8/24, 82
2016/8/25, 86
2016/8/26, 121
2016/8/27, 99
2016/8/28, 111
2016/8/29, 99
2016/8/30, 101
2016/8/31, 73
2016/9/1, 63
2016/9/2, 97
2016/9/3, 98
2016/9/4, 83
2016/9/5, 70
2016/9/6, 73
2016/9/7, 89
2016/9/8, 93
2016/9/9, 95
2016/9/10, 79
2016/9/11, 72
2016/9/12, 75
2016/9/13, 108
2016/9/14, 93
2016/9/15, 153
2016/9/16, 132
2016/9/17, 155
2016/9/18, 161
2016/9/19, 147
2016/9/20, 165
2016/9/21, 154
2016/9/22, 75
2016/9/23, 105
2016/9/24, 123
2016/9/25, 130
2016/9/26, 150
2016/9/27, 124
2016/9/28, 162
2016/9/29, 170
2016/9/30, 144
2016/4/1, 145
2016/4/2, 124
2016/4/3, 186
2016/4/4, 135
2016/4/5, 111
2016/4/6, 115
2016/4/7, 164
2016/4/8, 103
2016/4/9, 161
2016/4/10, 105
2016/4/11, 97
2016/4/12, 89
2016/4/13, 111
2016/4/14, 132
2016/4/15, 158
2016/4/16, 150
2016/4/17, 132
2016/4/18, 124
2016/4/19, 158
2016/4/20, 148
2016/4/21, 134
2016/4/22, 152
2016/4/23, 116
2016/4/24, 182
2016/4/25, 160
2016/4/26, 176
2016/4/27, 194
2016/4/28, 272
2016/4/29, 271
2016/4/30, 341
2016/5/1, 212
2016/5/2, 158
2016/5/3, 154
2016/5/4, 173
2016/5/5, 133
2016/5/6, 99
2016/5/7, 141
2016/5/8, 159
2016/5/9, 162
2016/5/10, 151
2016/5/11, 137
2016/5/12, 173
2016/5/13, 142
2016/5/14, 148
2016/5/15, 171
2016/5/16, 132
2016/5/17, 147
2016/5/18, 146
2016/5/19, 163
2016/5/20, 140
2016/5/21, 147
2016/5/22, 135
2016/5/23, 116
2016/5/24, 109
2016/5/25, 163
2016/5/26, 165
2016/5/27, 201
2016/5/28, 161
2016/5/29, 78
2016/5/30, 106
2016/5/31, 138
2016/6/1, 120
2016/6/2, 116
2016/6/3, 162
2016/6/4, 158
2016/6/5, 147
2016/6/6, 109
2016/6/7, 124
2016/6/8, 132
2016/6/9, 134
2016/6/10, 136
2016/6/11, 99
2016/6/12, 114
2016/6/13, 149
2016/6/14, 98
2016/6/15, 155
2016/6/16, 107
2016/6/17, 108
2016/6/18, 135
2016/6/19, 111
2016/6/20, 105
2016/6/21, 94
2016/6/22, 118
2016/6/23, 114
2016/6/24, 154
2016/6/25, 151
2016/6/26, 143
2016/6/27, 149
2016/6/28, 119
2016/6/29, 92
2016/6/30, 102
2016/1/5, 434
2016/1/6, 391
2016/1/7, 394
2016/1/8, 467
2016/1/9, 432
2016/1/10, 268
2016/1/11, 233
2016/1/12, 265
2016/1/13, 255
2016/1/14, 347
2016/1/15, 301
2016/1/16, 237
2016/1/17, 201
2016/1/18, 232
2016/1/19, 321
2016/1/20, 351
2016/1/21, 339
2016/1/22, 257
2016/1/23, 371
2016/1/24, 322
2016/1/25, 395
2016/1/26, 293
2016/1/27, 384
2016/1/28, 325
2016/1/29, 328
2016/1/30, 384
2016/1/31, 378
2016/2/1, 314
2016/2/2, 184
2016/2/3, 195
2016/2/4, 220
2016/2/5, 195
2016/2/6, 275
2016/2/7, 314
2016/2/8, 247
2016/2/9, 195
2016/2/10, 255
2016/2/11, 276
2016/2/12, 181
2016/2/13, 182
2016/2/14, 164
2016/2/15, 172
2016/2/16, 174
2016/2/17, 180
2016/2/18, 184
2016/2/19, 217
2016/2/20, 268
2016/2/21, 213
2016/2/22, 143
2016/2/23, 144
2016/2/24, 149
2016/2/25, 210
2016/2/26, 182
2016/2/27, 189
2016/2/28, 207
2016/2/29, 244
2016/3/1, 214
2016/3/2, 253
2016/3/3, 195
2016/3/4, 190
2016/3/5, 177
2016/3/6, 107
2016/3/7, 104
2016/3/8, 168
2016/3/9, 147
2016/3/10, 182
2016/3/11, 210
2016/3/12, 158
2016/3/13, 98
2016/3/14, 71
2016/3/15, 97
2016/3/16, 143
2016/3/17, 145
2016/3/18, 120
2016/3/19, 142
2016/3/22, 71
2016/3/23, 76
2016/3/24, 123
2016/3/25, 202
2016/3/26, 181
2016/3/27, 96
2016/3/28, 132
2016/3/29, 160
2016/3/30, 163
2016/3/31, 151
2015/10/1, 136
2015/10/2, 149
2015/10/3, 143
2015/10/4, 147
2015/10/5, 162
2015/10/6, 165
2015/10/7, 180
2015/10/8, 170
2015/10/9, 151
2015/10/10, 133
2015/10/11, 126
2015/10/12, 142
2015/10/13, 164
2015/10/14, 156
2015/10/15, 163
2015/10/16, 181
2015/10/17, 192
2015/10/18, 226
2015/10/19, 220
2015/10/20, 212
2015/10/21, 221
2015/10/27, 153
2015/10/28, 176
2015/10/29, 163
2015/10/30, 143
2015/10/31, 165
2015/11/1, 263
2015/11/2, 271
2015/11/3, 224
2015/11/4, 257
2015/11/5, 315
2015/11/6, 214
2015/11/7, 215
2015/11/8, 413
2015/11/9, 298
2015/11/10, 231
2015/11/11, 305
2015/11/12, 258
2015/11/13, 319
2015/11/14, 390
2015/11/15, 317
2015/11/16, 265
2015/11/17, 217
2015/11/18, 196
2015/11/19, 230
2015/11/20, 254
2015/11/21, 316
2015/11/22, 325
2015/11/23, 307
